"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
;"Marital Status";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
;"15 - 19 years";15;15;0;0;0;0;19;19;0;0;0;0
"014 Ballon";"0 - 4 years";21;21;0;0;0;0;27;27;0;0;0;0
;"5 - 9 years";23;23;0;0;0;0;21;21;0;0;0;0
;"10 - 14 years";15;15;0;0;0;0;27;27;0;0;0;0
;"15 - 19 years";22;22;0;0;0;0;25;25;0;0;0;0
"015 Ballyellin";"0 - 4 years";13;13;0;0;0;0;11;11;0;0;0;0
;"5 - 9 years";17;17;0;0;0;0;17;17;0;0;0;0
;"10 - 14 years";12;12;0;0;0;0;22;22;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;6;6;0;0;0;0
"016 Ballymoon";"0 - 4 years";5;5;0;0;0;0;11;11;0;0;0;0
;"5 - 9 years";10;10;0;0;0;0;5;5;0;0;0;0
;"10 - 14 years";11;11;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";4;4;0;0;0;0;7;7;0;0;0;0
"017 Borris";"0 - 4 years";29;29;0;0;0;0;35;35;0;0;0;0
;"5 - 9 years";29;29;0;0;0;0;32;32;0;0;0;0
;"10 - 14 years";29;29;0;0;0;0;28;28;0;0;0;0
;"15 - 19 years";32;32;0;0;0;0;44;44;0;0;0;0
"018 Burton Hall";"0 - 4 years";15;15;0;0;0;0;15;15;0;0;0;0
;"5 - 9 years";16;16;0;0;0;0;16;16;0;0;0;0
;"10 - 14 years";11;11;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";10;10;0;0;0;0;21;21;0;0;0;0
"019 Carlow Rural";"0 - 4 years";527;527;0;0;0;0;561;561;0;0;0;0
;"5 - 9 years";472;472;0;0;0;0;444;444;0;0;0;0
;"10 - 14 years";437;437;0;0;0;0;372;372;0;0;0;0
;"15 - 19 years";457;455;2;0;0;0;459;453;4;0;0;2
"020 Clogrenan";"0 - 4 years";31;31;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";41;41;0;0;0;0;28;28;0;0;0;0
;"10 - 14 years";34;34;0;0;0;0;21;21;0;0;0;0
;"15 - 19 years";25;25;0;0;0;0;34;34;0;0;0;0
"021 Clonegall";"0 - 4 years";24;24;0;0;0;0;41;41;0;0;0;0
;"5 - 9 years";38;38;0;0;0;0;42;42;0;0;0;0
;"10 - 14 years";30;30;0;0;0;0;34;34;0;0;0;0
;"15 - 19 years";26;26;0;0;0;0;32;32;0;0;0;0
"022 Corries";"0 - 4 years";22;22;0;0;0;0;16;16;0;0;0;0
;"5 - 9 years";19;19;0;0;0;0;12;12;0;0;0;0
;"10 - 14 years";14;14;0;0;0;0;18;18;0;0;0;0
;"15 - 19 years";26;26;0;0;0;0;17;17;0;0;0;0
"023 Cranemore";"0 - 4 years";36;36;0;0;0;0;24;24;0;0;0;0
;"5 - 9 years";27;27;0;0;0;0;20;20;0;0;0;0
;"10 - 14 years";27;27;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";30;30;0;0;0;0;38;38;0;0;0;0
"024 Fennagh";"0 - 4 years";23;23;0;0;0;0;15;15;0;0;0;0
;"5 - 9 years";16;16;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";20;20;0;0;0;0;23;23;0;0;0;0
;"15 - 19 years";16;16;0;0;0;0;21;21;0;0;0;0
"025 Garryhill";"0 - 4 years";25;25;0;0;0;0;19;19;0;0;0;0
;"5 - 9 years";14;14;0;0;0;0;17;17;0;0;0;0
;"10 - 14 years";26;26;0;0;0;0;26;26;0;0;0;0
;"15 - 19 years";24;24;0;0;0;0;32;32;0;0;0;0
"026 Grangeford";"0 - 4 years";8;8;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";9;9;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";11;11;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;11;11;0;0;0;0
"027 Johnstown";"0 - 4 years";16;16;0;0;0;0;28;28;0;0;0;0
;"5 - 9 years";14;14;0;0;0;0;24;24;0;0;0;0
;"10 - 14 years";15;15;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";20;20;0;0;0;0;23;23;0;0;0;0
"028 Kellistown";"0 - 4 years";44;44;0;0;0;0;44;44;0;0;0;0
;"5 - 9 years";44;44;0;0;0;0;56;56;0;0;0;0
;"10 - 14 years";59;59;0;0;0;0;45;45;0;0;0;0
;"15 - 19 years";45;45;0;0;0;0;34;34;0;0;0;0
"029 Kilbride";"0 - 4 years";15;15;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";13;13;0;0;0;0;9;9;0;0;0;0
;"10 - 14 years";9;9;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";17;17;0;0;0;0;14;14;0;0;0;0
"030 Killedmond";"0 - 4 years";19;19;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";21;21;0;0;0;0;14;14;0;0;0;0
;"10 - 14 years";17;17;0;0;0;0;11;11;0;0;0;0
;"15 - 19 years";14;14;0;0;0;0;12;12;0;0;0;0
"031 Killerrig";"0 - 4 years";14;14;0;0;0;0;19;19;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;13;13;0;0;0;0
;"10 - 14 years";16;16;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";10;10;0;0;0;0;13;13;0;0;0;0
"032 Leighlinbridge";"0 - 4 years";56;56;0;0;0;0;50;50;0;0;0;0
;"5 - 9 years";58;58;0;0;0;0;59;59;0;0;0;0
;"10 - 14 years";53;53;0;0;0;0;49;49;0;0;0;0
;"15 - 19 years";64;64;0;0;0;0;50;50;0;0;0;0
"033 Muinebeag (Bagenalstown) Rural";"0 - 4 years";25;25;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";23;23;0;0;0;0;16;16;0;0;0;0
;"10 - 14 years";23;23;0;0;0;0;34;34;0;0;0;0
;"15 - 19 years";25;25;0;0;0;0;16;16;0;0;0;0
"034 Muinebeag (Bagenalstown) Urban";"0 - 4 years";67;67;0;0;0;0;80;80;0;0;0;0
;"5 - 9 years";90;90;0;0;0;0;55;55;0;0;0;0
;"10 - 14 years";87;87;0;0;0;0;78;78;0;0;0;0
;"15 - 19 years";114;113;1;0;0;0;100;100;0;0;0;0
"035 Myshall";"0 - 4 years";22;22;0;0;0;0;28;28;0;0;0;0
;"5 - 9 years";6;6;0;0;0;0;14;14;0;0;0;0
;"10 - 14 years";18;18;0;0;0;0;16;16;0;0;0;0
;"15 - 19 years";20;20;0;0;0;0;16;16;0;0;0;0
"036 Nurney";"0 - 4 years";36;36;0;0;0;0;31;31;0;0;0;0
;"5 - 9 years";45;45;0;0;0;0;33;33;0;0;0;0
;"10 - 14 years";47;47;0;0;0;0;32;32;0;0;0;0
;"15 - 19 years";47;47;0;0;0;0;28;28;0;0;0;0
"037 Oldleighlin";"0 - 4 years";26;26;0;0;0;0;17;17;0;0;0;0
;"5 - 9 years";14;14;0;0;0;0;26;26;0;0;0;0
;"10 - 14 years";10;10;0;0;0;0;13;13;0;0;0;0
;"15 - 19 years";14;14;0;0;0;0;16;16;0;0;0;0
"038 Rathanna";"0 - 4 years";5;5;0;0;0;0;4;4;0;0;0;0
;"5 - 9 years";3;3;0;0;0;0;5;5;0;0;0;0
;"10 - 14 years";3;3;0;0;0;0;0;0;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;0;0;0;0;0;0
"039 Rathornan";"0 - 4 years";16;16;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";13;13;0;0;0;0;15;15;0;0;0;0
;"10 - 14 years";8;8;0;0;0;0;8;8;0;0;0;0
;"15 - 19 years";16;16;0;0;0;0;6;6;0;0;0;0
"040 Rathrush";"0 - 4 years";73;73;0;0;0;0;58;58;0;0;0;0
;"5 - 9 years";52;52;0;0;0;0;39;39;0;0;0;0
;"10 - 14 years";23;23;0;0;0;0;35;35;0;0;0;0
;"15 - 19 years";23;23;0;0;0;0;24;24;0;0;0;0
"041 Ridge";"0 - 4 years";14;14;0;0;0;0;11;11;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;10;10;0;0;0;0
;"10 - 14 years";10;10;0;0;0;0;8;8;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;12;12;0;0;0;0
"042 Shangarry";"0 - 4 years";20;20;0;0;0;0;21;21;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;16;16;0;0;0;0
;"10 - 14 years";25;25;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";26;26;0;0;0;0;18;17;1;0;0;0
"043 Sliguff";"0 - 4 years";12;12;0;0;0;0;20;20;0;0;0;0
;"5 - 9 years";24;24;0;0;0;0;12;12;0;0;0;0
;"10 - 14 years";23;23;0;0;0;0;19;19;0;0;0;0
;"15 - 19 years";24;24;0;0;0;0;24;24;0;0;0;0
"044 Tankardstown";"0 - 4 years";17;17;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";18;18;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";16;16;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;11;11;0;0;0;0
"045 Templepeter";"0 - 4 years";18;18;0;0;0;0;20;20;0;0;0;0
;"5 - 9 years";16;16;0;0;0;0;16;16;0;0;0;0
;"10 - 14 years";15;15;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";12;12;0;0;0;0;11;11;0;0;0;0
"046 Tullowbeg";"0 - 4 years";14;14;0;0;0;0;14;14;0;0;0;0
;"5 - 9 years";23;23;0;0;0;0;14;14;0;0;0;0
;"10 - 14 years";18;18;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";18;18;0;0;0;0;24;23;1;0;0;0
"047 Tullow Rural";"0 - 4 years";17;17;0;0;0;0;20;20;0;0;0;0
;"5 - 9 years";19;19;0;0;0;0;12;12;0;0;0;0
;"10 - 14 years";19;19;0;0;0;0;19;19;0;0;0;0
;"15 - 19 years";21;21;0;0;0;0;22;22;0;0;0;0
"048 Tullow Urban";"0 - 4 years";113;113;0;0;0;0;114;114;0;0;0;0
;"5 - 9 years";105;105;0;0;0;0;94;94;0;0;0;0
;"10 - 14 years";83;83;0;0;0;0;86;86;0;0;0;0
;"15 - 19 years";79;79;0;0;0;0;90;89;1;0;0;0
"049 Ballymurphy";"0 - 4 years";6;6;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";7;7;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;3;3;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;11;11;0;0;0;0
"050 Coonogue";"0 - 4 years";10;10;0;0;0;0;2;2;0;0;0;0
;"5 - 9 years";1;1;0;0;0;0;2;2;0;0;0;0
;"10 - 14 years";4;4;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";4;4;0;0;0;0;10;10;0;0;0;0
"051 Glynn";"0 - 4 years";12;12;0;0;0;0;12;12;0;0;0;0
;"5 - 9 years";17;17;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";11;11;0;0;0;0;11;11;0;0;0;0
;"15 - 19 years";14;14;0;0;0;0;9;9;0;0;0;0
"052 Kyle";"0 - 4 years";18;18;0;0;0;0;11;11;0;0;0;0
;"5 - 9 years";10;10;0;0;0;0;10;10;0;0;0;0
;"10 - 14 years";11;11;0;0;0;0;13;13;0;0;0;0
;"15 - 19 years";11;11;0;0;0;0;7;7;0;0;0;0
"053 Marley";"0 - 4 years";14;14;0;0;0;0;12;12;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;9;9;0;0;0;0
;"10 - 14 years";13;13;0;0;0;0;9;9;0;0;0;0
;"15 - 19 years";14;14;0;0;0;0;9;9;0;0;0;0
"054 Tinnahinch";"0 - 4 years";16;16;0;0;0;0;23;23;0;0;0;0
;"5 - 9 years";21;21;0;0;0;0;22;22;0;0;0;0
;"10 - 14 years";30;30;0;0;0;0;18;18;0;0;0;0
;"15 - 19 years";42;42;0;0;0;0;19;19;0;0;0;0
"Dublin City";"0 - 4 years";13430;13430;0;0;0;0;12933;12933;0;0;0;0
;"5 - 9 years";12892;12892;0;0;0;0;12151;12151;0;0;0;0
;"10 - 14 years";12452;12452;0;0;0;0;11996;11996;0;0;0;0
;"15 - 19 years";14925;14790;109;6;1;19;14924;14779;129;7;0;9
"001 Arran Quay A";"0 - 4 years";28;28;0;0;0;0;31;31;0;0;0;0
;"5 - 9 years";22;22;0;0;0;0;22;22;0;0;0;0
;"10 - 14 years";20;20;0;0;0;0;17;17;0;0;0;0
;"15 - 19 years";42;42;0;0;0;0;63;62;1;0;0;0
"002 Arran Quay B";"0 - 4 years";124;124;0;0;0;0;118;118;0;0;0;0
;"5 - 9 years";47;47;0;0;0;0;44;44;0;0;0;0
;"10 - 14 years";30;30;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";63;63;0;0;0;0;67;65;0;1;0;1
"003 Arran Quay C";"0 - 4 years";75;75;0;0;0;0;80;80;0;0;0;0
;"5 - 9 years";48;48;0;0;0;0;48;48;0;0;0;0
;"10 - 14 years";36;36;0;0;0;0;35;35;0;0;0;0
;"15 - 19 years";53;52;1;0;0;0;59;58;1;0;0;0
"004 Arran Quay D";"0 - 4 years";104;104;0;0;0;0;88;88;0;0;0;0
;"5 - 9 years";87;87;0;0;0;0;94;94;0;0;0;0
;"10 - 14 years";78;78;0;0;0;0;87;87;0;0;0;0
;"15 - 19 years";100;100;0;0;0;0;104;103;1;0;0;0
"005 Arran Quay E";"0 - 4 years";82;82;0;0;0;0;74;74;0;0;0;0
;"5 - 9 years";45;45;0;0;0;0;41;41;0;0;0;0
;"10 - 14 years";30;30;0;0;0;0;42;42;0;0;0;0
;"15 - 19 years";47;47;0;0;0;0;53;52;1;0;0;0
"006 Ashtown A";"0 - 4 years";232;232;0;0;0;0;203;203;0;0;0;0
;"5 - 9 years";268;268;0;0;0;0;262;262;0;0;0;0
;"10 - 14 years";238;238;0;0;0;0;250;250;0;0;0;0
;"15 - 19 years";264;264;0;0;0;0;220;210;9;0;0;1
"007 Ashtown B";"0 - 4 years";57;57;0;0;0;0;55;55;0;0;0;0
;"5 - 9 years";52;52;0;0;0;0;29;29;0;0;0;0
;"10 - 14 years";58;58;0;0;0;0;56;56;0;0;0;0
;"15 - 19 years";77;77;0;0;0;0;46;46;0;0;0;0
"008 Ayrfield";"0 - 4 years";171;171;0;0;0;0;182;182;0;0;0;0
;"5 - 9 years";182;182;0;0;0;0;189;189;0;0;0;0
;"10 - 14 years";179;179;0;0;0;0;169;169;0;0;0;0
;"15 - 19 years";238;238;0;0;0;0;227;227;0;0;0;0
"009 Ballybough A";"0 - 4 years";125;125;0;0;0;0;114;114;0;0;0;0
;"5 - 9 years";126;126;0;0;0;0;93;93;0;0;0;0
;"10 - 14 years";112;112;0;0;0;0;89;89;0;0;0;0
;"15 - 19 years";123;121;1;1;0;0;106;104;1;1;0;0
"010 Ballybough B";"0 - 4 years";49;49;0;0;0;0;58;58;0;0;0;0
;"5 - 9 years";37;37;0;0;0;0;32;32;0;0;0;0
;"10 - 14 years";32;32;0;0;0;0;34;34;0;0;0;0
;"15 - 19 years";99;98;1;0;0;0;94;91;2;0;0;1
"011 Ballygall A";"0 - 4 years";95;95;0;0;0;0;90;90;0;0;0;0
;"5 - 9 years";109;109;0;0;0;0;123;123;0;0;0;0
;"10 - 14 years";111;111;0;0;0;0;112;112;0;0;0;0
;"15 - 19 years";119;119;0;0;0;0;126;126;0;0;0;0
"012 Ballygall B";"0 - 4 years";39;39;0;0;0;0;45;45;0;0;0;0
;"5 - 9 years";45;45;0;0;0;0;38;38;0;0;0;0
;"10 - 14 years";58;58;0;0;0;0;46;46;0;0;0;0
;"15 - 19 years";49;49;0;0;0;0;39;39;0;0;0;0
"013 Ballygall C";"0 - 4 years";70;70;0;0;0;0;71;71;0;0;0;0
;"5 - 9 years";79;79;0;0;0;0;78;78;0;0;0;0
;"10 - 14 years";85;85;0;0;0;0;79;79;0;0;0;0
;"15 - 19 years";81;81;0;0;0;0;105;105;0;0;0;0
"014 Ballygall D";"0 - 4 years";66;66;0;0;0;0;53;53;0;0;0;0
;"5 - 9 years";67;67;0;0;0;0;52;52;0;0;0;0
;"10 - 14 years";75;75;0;0;0;0;65;65;0;0;0;0
;"15 - 19 years";73;73;0;0;0;0;80;79;1;0;0;0
"015 Ballymun A";"0 - 4 years";93;93;0;0;0;0;57;57;0;0;0;0
;"5 - 9 years";97;97;0;0;0;0;76;76;0;0;0;0
;"10 - 14 years";102;102;0;0;0;0;105;105;0;0;0;0
;"15 - 19 years";99;99;0;0;0;0;86;86;0;0;0;0
"016 Ballymun B";"0 - 4 years";157;157;0;0;0;0;160;160;0;0;0;0
;"5 - 9 years";159;159;0;0;0;0;173;173;0;0;0;0
;"10 - 14 years";173;173;0;0;0;0;180;180;0;0;0;0
;"15 - 19 years";192;188;4;0;0;0;175;168;7;0;0;0
"017 Ballymun C";"0 - 4 years";215;215;0;0;0;0;200;200;0;0;0;0
;"5 - 9 years";305;305;0;0;0;0;296;296;0;0;0;0
;"10 - 14 years";298;298;0;0;0;0;283;283;0;0;0;0
;"15 - 19 years";276;275;0;1;0;0;273;272;1;0;0;0
"018 Ballymun D";"0 - 4 years";187;187;0;0;0;0;164;164;0;0;0;0
;"5 - 9 years";210;210;0;0;0;0;189;189;0;0;0;0
;"10 - 14 years";198;198;0;0;0;0;148;148;0;0;0;0
;"15 - 19 years";165;164;1;0;0;0;125;121;4;0;0;0
"019 Ballymun E";"0 - 4 years";34;34;0;0;0;0;42;42;0;0;0;0
;"5 - 9 years";35;35;0;0;0;0;40;40;0;0;0;0
;"10 - 14 years";45;45;0;0;0;0;44;44;0;0;0;0
;"15 - 19 years";44;44;0;0;0;0;47;47;0;0;0;0
"020 Ballymun F";"0 - 4 years";46;46;0;0;0;0;49;49;0;0;0;0
;"5 - 9 years";53;53;0;0;0;0;47;47;0;0;0;0
;"10 - 14 years";82;82;0;0;0;0;66;66;0;0;0;0
;"15 - 19 years";90;89;0;0;1;0;96;96;0;0;0;0
"021 Beaumont A";"0 - 4 years";45;45;0;0;0;0;46;46;0;0;0;0
;"5 - 9 years";58;58;0;0;0;0;62;62;0;0;0;0
;"10 - 14 years";65;65;0;0;0;0;68;68;0;0;0;0
;"15 - 19 years";64;64;0;0;0;0;44;44;0;0;0;0
"022 Beaumont B";"0 - 4 years";154;154;0;0;0;0;169;169;0;0;0;0
;"5 - 9 years";123;123;0;0;0;0;106;106;0;0;0;0
;"10 - 14 years";107;107;0;0;0;0;91;91;0;0;0;0
;"15 - 19 years";115;114;0;0;0;1;117;117;0;0;0;0
"023 Beaumont C";"0 - 4 years";82;82;0;0;0;0;67;67;0;0;0;0
;"5 - 9 years";52;52;0;0;0;0;63;63;0;0;0;0
;"10 - 14 years";56;56;0;0;0;0;54;54;0;0;0;0
;"15 - 19 years";89;87;2;0;0;0;75;75;0;0;0;0
"024 Beaumont D";"0 - 4 years";60;60;0;0;0;0;39;39;0;0;0;0
;"5 - 9 years";89;89;0;0;0;0;69;69;0;0;0;0
;"10 - 14 years";89;89;0;0;0;0;88;88;0;0;0;0
;"15 - 19 years";108;107;1;0;0;0;99;99;0;0;0;0
"025 Beaumont E";"0 - 4 years";33;33;0;0;0;0;44;44;0;0;0;0
;"5 - 9 years";39;39;0;0;0;0;41;41;0;0;0;0
;"10 - 14 years";59;59;0;0;0;0;48;48;0;0;0;0
;"15 - 19 years";63;62;1;0;0;0;53;53;0;0;0;0
"026 Beaumont F";"0 - 4 years";82;82;0;0;0;0;89;89;0;0;0;0
;"5 - 9 years";106;106;0;0;0;0;112;112;0;0;0;0
;"10 - 14 years";113;113;0;0;0;0;80;80;0;0;0;0
;"15 - 19 years";84;84;0;0;0;0;74;74;0;0;0;0
"027 Botanic A";"0 - 4 years";65;65;0;0;0;0;78;78;0;0;0;0
;"5 - 9 years";51;51;0;0;0;0;71;71;0;0;0;0
;"10 - 14 years";54;54;0;0;0;0;63;63;0;0;0;0
;"15 - 19 years";76;76;0;0;0;0;84;84;0;0;0;0
"028 Botanic B";"0 - 4 years";87;87;0;0;0;0;69;69;0;0;0;0
;"5 - 9 years";71;71;0;0;0;0;58;58;0;0;0;0
;"10 - 14 years";70;70;0;0;0;0;67;67;0;0;0;0
;"15 - 19 years";73;73;0;0;0;0;97;97;0;0;0;0
"029 Botanic C";"0 - 4 years";39;39;0;0;0;0;59;59;0;0;0;0
;"5 - 9 years";46;46;0;0;0;0;40;40;0;0;0;0
;"10 - 14 years";28;28;0;0;0;0;33;33;0;0;0;0
;"15 - 19 years";38;38;0;0;0;0;49;49;0;0;0;0
"030 Cabra East A";"0 - 4 years";99;99;0;0;0;0;112;112;0;0;0;0
;"5 - 9 years";98;98;0;0;0;0;90;90;0;0;0;0
;"10 - 14 years";105;105;0;0;0;0;86;86;0;0;0;0
;"15 - 19 years";126;126;0;0;0;0;122;120;2;0;0;0
"031 Cabra East B";"0 - 4 years";78;78;0;0;0;0;79;79;0;0;0;0
;"5 - 9 years";81;81;0;0;0;0;72;72;0;0;0;0
;"10 - 14 years";84;84;0;0;0;0;89;89;0;0;0;0
;"15 - 19 years";96;96;0;0;0;0;103;103;0;0;0;0
"032 Cabra East C";"0 - 4 years";70;70;0;0;0;0;63;63;0;0;0;0
;"5 - 9 years";61;61;0;0;0;0;56;56;0;0;0;0
;"10 - 14 years";65;65;0;0;0;0;60;60;0;0;0;0
;"15 - 19 years";98;98;0;0;0;0;69;66;3;0;0;0
"033 Cabra West A";"0 - 4 years";33;33;0;0;0;0;38;38;0;0;0;0
;"5 - 9 years";48;48;0;0;0;0;52;52;0;0;0;0
;"10 - 14 years";49;49;0;0;0;0;68;68;0;0;0;0
;"15 - 19 years";71;71;0;0;0;0;51;51;0;0;0;0
"034 Cabra West B";"0 - 4 years";63;63;0;0;0;0;79;79;0;0;0;0
;"5 - 9 years";104;104;0;0;0;0;77;77;0;0;0;0
;"10 - 14 years";92;92;0;0;0;0;91;91;0;0;0;0
;"15 - 19 years";81;81;0;0;0;0;79;79;0;0;0;0
"035 Cabra West C";"0 - 4 years";72;72;0;0;0;0;74;74;0;0;0;0
;"5 - 9 years";79;79;0;0;0;0;81;81;0;0;0;0
;"10 - 14 years";94;94;0;0;0;0;91;91;0;0;0;0
;"15 - 19 years";112;112;0;0;0;0;81;81;0;0;0;0
"036 Cabra West D";"0 - 4 years";71;71;0;0;0;0;90;90;0;0;0;0
;"5 - 9 years";77;77;0;0;0;0;60;60;0;0;0;0
;"10 - 14 years";77;77;0;0;0;0;63;63;0;0;0;0
;"15 - 19 years";88;87;0;0;0;1;85;85;0;0;0;0
"037 Clontarf East A";"0 - 4 years";94;94;0;0;0;0;96;96;0;0;0;0
;"5 - 9 years";87;87;0;0;0;0;93;93;0;0;0;0
;"10 - 14 years";93;93;0;0;0;0;99;99;0;0;0;0
;"15 - 19 years";87;87;0;0;0;0;86;85;1;0;0;0
